,Angulo,Nombre_imagen,Velocidad
1154,30,fotosCarrilHorario2/Img1154.png,450
1717,30,fotosCarrilHorario/Img1717.png,450
519,30,fotosCarrilAntihorario/Img519.png,450
1162,30,fotosCarrilHorario/Img1162.png,450
908,30,fotosCarrilHorario2/Img908.png,450
1095,30,fotosCarrilHorario2/Img1095.png,450
156,30,fotosCarrilHorario2/Img156.png,450
662,30,fotosCarrilHorario2/Img662.png,450
2297,30,fotosCarrilHorario/Img2297.png,450
1013,30,fotosCarrilAntihorario/Img1013.png,450
2066,30,fotosCarrilHorario/Img2066.png,450
1218,30,fotosCarrilHorario/Img1218.png,450
769,30,fotosCarrilAntihorario2/Img769.png,450
490,30,fotosCarrilHorario/Img490.png,450
2381,30,fotosCarrilHorario2/Img2381.png,450
100,30,fotosCarrilHorario2/Img100.png,450
1713,30,fotosCarrilAntihorario/Img1713.png,450
2118,30,fotosCarrilHorario/Img2118.png,450
2054,30,fotosCarrilHorario2/Img2054.png,450
709,30,fotosCarrilAntihorario/Img709.png,450
1011,30,fotosCarrilHorario/Img1011.png,450
909,30,fotosCarrilHorario/Img909.png,450
717,30,fotosCarrilHorario2/Img717.png,450
531,30,fotosCarrilHorario/Img531.png,450
1976,30,fotosCarrilHorario/Img1976.png,450
691,30,fotosCarrilHorario/Img691.png,450
913,30,fotosCarrilAntihorario/Img913.png,450
1498,30,fotosCarrilHorario2/Img1498.png,450
667,30,fotosCarrilHorario2/Img667.png,450
575,30,fotosCarrilHorario/Img575.png,450
856,30,fotosCarrilHorario/Img856.png,450
415,30,fotosCarrilHorario2/Img415.png,450
2141,30,fotosCarrilHorario/Img2141.png,450
1240,30,fotosCarrilHorario2/Img1240.png,450
2008,30,fotosCarrilAntihorario/Img2008.png,450
1138,30,fotosCarrilHorario2/Img1138.png,450
1710,30,fotosCarrilHorario/Img1710.png,450
1293,30,fotosCarrilHorario/Img1293.png,450
1806,30,fotosCarrilAntihorario/Img1806.png,450
1375,30,fotosCarrilHorario2/Img1375.png,450
1511,30,fotosCarrilAntihorario/Img1511.png,450
213,30,fotosCarrilHorario2/Img213.png,450
2065,30,fotosCarrilHorario/Img2065.png,450
2309,30,fotosCarrilAntihorario/Img2309.png,450
2213,30,fotosCarrilHorario2/Img2213.png,450
246,30,fotosCarrilAntihorario/Img246.png,450
24,30,fotosCarrilHorario/Img24.png,450
303,30,fotosCarrilHorario/Img303.png,450
389,30,fotosCarrilHorario/Img389.png,450
2155,30,fotosCarrilHorario2/Img2155.png,450
979,30,fotosCarrilAntihorario2/Img979.png,450
2565,30,fotosCarrilHorario/Img2565.png,450
937,30,fotosCarrilHorario2/Img937.png,450
2367,30,fotosCarrilHorario/Img2367.png,450
1402,30,fotosCarrilAntihorario/Img1402.png,450
1589,30,fotosCarrilAntihorario2/Img1589.png,450
1105,30,fotosCarrilHorario/Img1105.png,450
1769,30,fotosCarrilHorario2/Img1769.png,450
1616,30,fotosCarrilHorario/Img1616.png,450
1259,30,fotosCarrilHorario/Img1259.png,450
557,30,fotosCarrilAntihorario2/Img557.png,450
697,30,fotosCarrilHorario2/Img697.png,450
1776,30,fotosCarrilHorario2/Img1776.png,450
450,30,fotosCarrilHorario2/Img450.png,450
1828,30,fotosCarrilHorario2/Img1828.png,450
1028,30,fotosCarrilHorario/Img1028.png,450
