,Angulo,Nombre_imagen,Velocidad
0,30.0,fotosCarrilHorario2Aumentada\Img0.png,0
1,90.0,fotosCarrilHorario2Aumentada\Img1.png,0
2,30.0,fotosCarrilHorarioAumentada\Img2.png,0
3,30.0,fotosCarrilHorarioAumentada\Img3.png,0
4,30.0,fotosCarrilHorarioAumentada\Img4.png,0
5,30.0,fotosCarrilAntihorarioAumentada\Img5.png,0
6,30.0,fotosCarrilAntihorarioAumentada\Img6.png,0
7,30.0,fotosCarrilAntihorarioAumentada\Img7.png,0
8,30.0,fotosCarrilHorarioAumentada\Img8.png,0
9,90.0,fotosCarrilHorarioAumentada\Img9.png,0
10,30.0,fotosCarrilHorarioAumentada\Img10.png,0
11,30.0,fotosCarrilHorarioAumentada\Img11.png,0
12,30.0,fotosCarrilHorario2Aumentada\Img12.png,0
13,30.0,fotosCarrilHorario2Aumentada\Img13.png,0
14,30.0,fotosCarrilHorario2Aumentada\Img14.png,0
15,30.0,fotosCarrilHorario2Aumentada\Img15.png,0
16,90.0,fotosCarrilHorario2Aumentada\Img16.png,0
17,30.0,fotosCarrilHorario2Aumentada\Img17.png,0
18,30.0,fotosCarrilHorario2Aumentada\Img18.png,0
19,90.0,fotosCarrilHorario2Aumentada\Img19.png,0
20,30.0,fotosCarrilHorario2Aumentada\Img20.png,0
21,30.0,fotosCarrilHorario2Aumentada\Img21.png,0
22,90.0,fotosCarrilHorario2Aumentada\Img22.png,0
23,30.0,fotosCarrilHorario2Aumentada\Img23.png,0
24,30.0,fotosCarrilHorario2Aumentada\Img24.png,0
25,30.0,fotosCarrilHorarioAumentada\Img25.png,0
26,30.0,fotosCarrilHorarioAumentada\Img26.png,0
27,30.0,fotosCarrilAntihorarioAumentada\Img27.png,0
28,90.0,fotosCarrilAntihorarioAumentada\Img28.png,0
29,30.0,fotosCarrilHorarioAumentada\Img29.png,0
30,30.0,fotosCarrilHorarioAumentada\Img30.png,0
31,30.0,fotosCarrilHorarioAumentada\Img31.png,0
32,30.0,fotosCarrilHorarioAumentada\Img32.png,0
33,30.0,fotosCarrilHorarioAumentada\Img33.png,0
34,30.0,fotosCarrilAntihorario2Aumentada\Img34.png,0
35,90.0,fotosCarrilAntihorario2Aumentada\Img35.png,0
36,30.0,fotosCarrilAntihorario2Aumentada\Img36.png,0
37,30.0,fotosCarrilAntihorario2Aumentada\Img37.png,0
38,30.0,fotosCarrilHorarioAumentada\Img38.png,0
39,30.0,fotosCarrilHorario2Aumentada\Img39.png,0
40,90.0,fotosCarrilHorario2Aumentada\Img40.png,0
41,30.0,fotosCarrilHorario2Aumentada\Img41.png,0
42,30.0,fotosCarrilHorario2Aumentada\Img42.png,0
43,30.0,fotosCarrilHorario2Aumentada\Img43.png,0
44,30.0,fotosCarrilHorario2Aumentada\Img44.png,0
45,30.0,fotosCarrilAntihorarioAumentada\Img45.png,0
46,90.0,fotosCarrilAntihorarioAumentada\Img46.png,0
47,30.0,fotosCarrilAntihorarioAumentada\Img47.png,0
48,30.0,fotosCarrilHorarioAumentada\Img48.png,0
49,30.0,fotosCarrilHorario2Aumentada\Img49.png,0
50,30.0,fotosCarrilHorario2Aumentada\Img50.png,0
51,30.0,fotosCarrilAntihorarioAumentada\Img51.png,0
52,30.0,fotosCarrilHorarioAumentada\Img52.png,0
53,30.0,fotosCarrilHorarioAumentada\Img53.png,0
54,30.0,fotosCarrilHorarioAumentada\Img54.png,0
55,30.0,fotosCarrilHorario2Aumentada\Img55.png,0
56,30.0,fotosCarrilHorarioAumentada\Img56.png,0
57,30.0,fotosCarrilHorarioAumentada\Img57.png,0
58,30.0,fotosCarrilHorarioAumentada\Img58.png,0
59,30.0,fotosCarrilHorarioAumentada\Img59.png,0
60,90.0,fotosCarrilHorarioAumentada\Img60.png,0
61,30.0,fotosCarrilHorarioAumentada\Img61.png,0
62,30.0,fotosCarrilHorarioAumentada\Img62.png,0
63,30.0,fotosCarrilAntihorarioAumentada\Img63.png,0
64,30.0,fotosCarrilAntihorarioAumentada\Img64.png,0
65,30.0,fotosCarrilAntihorarioAumentada\Img65.png,0
66,30.0,fotosCarrilHorario2Aumentada\Img66.png,0
67,30.0,fotosCarrilHorario2Aumentada\Img67.png,0
68,30.0,fotosCarrilHorario2Aumentada\Img68.png,0
69,90.0,fotosCarrilHorario2Aumentada\Img69.png,0
70,30.0,fotosCarrilHorario2Aumentada\Img70.png,0
71,30.0,fotosCarrilHorario2Aumentada\Img71.png,0
72,30.0,fotosCarrilHorarioAumentada\Img72.png,0
73,30.0,fotosCarrilHorarioAumentada\Img73.png,0
74,90.0,fotosCarrilHorarioAumentada\Img74.png,0
75,30.0,fotosCarrilHorarioAumentada\Img75.png,0
76,30.0,fotosCarrilHorario2Aumentada\Img76.png,0
77,30.0,fotosCarrilHorario2Aumentada\Img77.png,0
78,30.0,fotosCarrilHorarioAumentada\Img78.png,0
79,30.0,fotosCarrilHorarioAumentada\Img79.png,0
80,30.0,fotosCarrilHorarioAumentada\Img80.png,0
81,30.0,fotosCarrilHorario2Aumentada\Img81.png,0
82,30.0,fotosCarrilHorario2Aumentada\Img82.png,0
83,30.0,fotosCarrilHorario2Aumentada\Img83.png,0
84,30.0,fotosCarrilAntihorarioAumentada\Img84.png,0
85,90.0,fotosCarrilAntihorarioAumentada\Img85.png,0
86,30.0,fotosCarrilAntihorarioAumentada\Img86.png,0
87,30.0,fotosCarrilHorario2Aumentada\Img87.png,0
88,30.0,fotosCarrilHorario2Aumentada\Img88.png,0
89,30.0,fotosCarrilHorarioAumentada\Img89.png,0
90,90.0,fotosCarrilHorarioAumentada\Img90.png,0
91,30.0,fotosCarrilHorarioAumentada\Img91.png,0
92,30.0,fotosCarrilHorarioAumentada\Img92.png,0
93,30.0,fotosCarrilAntihorarioAumentada\Img93.png,0
94,30.0,fotosCarrilHorario2Aumentada\Img94.png,0
95,30.0,fotosCarrilHorario2Aumentada\Img95.png,0
96,30.0,fotosCarrilAntihorarioAumentada\Img96.png,0
97,90.0,fotosCarrilAntihorarioAumentada\Img97.png,0
98,30.0,fotosCarrilAntihorarioAumentada\Img98.png,0
99,30.0,fotosCarrilHorario2Aumentada\Img99.png,0
100,30.0,fotosCarrilHorario2Aumentada\Img100.png,0
101,30.0,fotosCarrilHorario2Aumentada\Img101.png,0
102,30.0,fotosCarrilHorarioAumentada\Img102.png,0
103,90.0,fotosCarrilHorarioAumentada\Img103.png,0
104,30.0,fotosCarrilAntihorarioAumentada\Img104.png,0
105,30.0,fotosCarrilAntihorarioAumentada\Img105.png,0
106,30.0,fotosCarrilAntihorarioAumentada\Img106.png,0
107,30.0,fotosCarrilHorario2Aumentada\Img107.png,0
108,30.0,fotosCarrilHorario2Aumentada\Img108.png,0
109,30.0,fotosCarrilHorario2Aumentada\Img109.png,0
110,30.0,fotosCarrilAntihorarioAumentada\Img110.png,0
111,30.0,fotosCarrilAntihorarioAumentada\Img111.png,0
112,30.0,fotosCarrilAntihorarioAumentada\Img112.png,0
113,30.0,fotosCarrilHorarioAumentada\Img113.png,0
114,90.0,fotosCarrilHorarioAumentada\Img114.png,0
115,30.0,fotosCarrilHorarioAumentada\Img115.png,0
